Model,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_Fair,Fair_DI
AdaBoost,AGE_GROUP,0.45979948492851574,0.33440951822789905,0.17821691279532637,0.17821691279532637,0.0034444525188512855,0.04607568019932984,0.1941224592504756,2,N
GradientBoosting,RACE,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,4,N
GradientBoosting,SEX,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,5,N
GradientBoosting,ETHNICITY,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,7,Y
GradientBoosting,AGE_GROUP,0.4825163599673628,0.3206208230325308,0.13061095729839634,0.13216715917832902,0.004434119466804477,0.025157200810134395,0.03497316337499867,3,N
DecisionTree,RACE,0.6464503372353458,0.1751338578169715,0.09589439686527057,0.09589439686527057,0.012973280071889887,0.0967741195575883,0.19815554559230802,4,N
DecisionTree,SEX,0.7504023869605763,0.12860422014459627,0.04610326577494295,0.06496982414973826,0.005746119377222969,0.004529629173382843,0.04920857657843469,5,N
DecisionTree,ETHNICITY,0.828718372181169,0.07795970899390658,0.030904588712329373,0.030904588712329373,0.00092389858161461,0.013258547074596061,0.059968631993484456,6,Y
DecisionTree,AGE_GROUP,0.5023724553936658,0.30165939743667197,0.12248349359077815,0.131309769095427,0.008125372127158303,0.0544045388370924,0.060808818566204126,2,N
CatBoost,RACE,0.6102828352648194,0.19283099641056817,0.08574273622817319,0.08574273622817319,0.004949608676722082,0.05949308007630183,0.16937984560754077,4,N
CatBoost,SEX,0.7429783914014086,0.13314153420824265,0.05114056480145579,0.06303295441939949,0.002289765796701128,0.00041364079341976723,0.03506557332700355,5,N
CatBoost,ETHNICITY,0.8202873167233634,0.08197638884876052,0.031616039299426246,0.032205372713722424,0.001359726652762995,0.004981091261225368,0.027073569831627786,7,Y
CatBoost,AGE_GROUP,0.4759102236967322,0.32448248308353617,0.14403346335491363,0.14403346335491363,0.003740377157848085,0.030239569302400016,0.030741193967711022,3,N
DNN (PyTorch),RACE,0.6016552598401197,0.19527680928177887,0.14753854559679802,0.14753854559679802,0.008152015348942804,0.10404556397158127,0.22792405408361682,1,N
DNN (PyTorch),SEX,0.7461279887085958,0.13185794912430798,0.048767301586645995,0.06971424322478237,0.0029398400276506517,0.0025066164886945463,0.03177196930609738,5,N
DNN (PyTorch),ETHNICITY,0.8093055100167416,0.08770112720000861,0.043051901343084786,0.043051901343084786,0.0007643456384823291,0.006430135596545594,0.029361035427166504,7,Y
DNN (PyTorch),AGE_GROUP,0.47049685143624076,0.3309461460779141,0.15851393797473967,0.16118299241383044,0.0022116310842241055,0.038477059318847595,0.030204852949038075,3,N
Stacking Ensemble,RACE,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393702,0.09308555617699377,0.30575322373883534,4,N
Stacking Ensemble,SEX,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496268,0.0021040955103475145,0.09372728089003324,4,N
Stacking Ensemble,ETHNICITY,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.0036080710697990043,0.002317574524305255,0.0800038963408933,6,Y
Stacking Ensemble,AGE_GROUP,0.4960514649463122,0.31189156699146803,0.11331694103774204,0.12357953831722608,0.006946884945610472,0.029224148501472702,0.08315713095520627,2,N
LGB-XGB Blend,RACE,0.6544165607499193,0.1750373181573635,0.04885667182373199,0.04885667182373199,0.0050344683459918466,0.09419197866293716,0.19161133652845547,4,N
LGB-XGB Blend,SEX,0.7621560583200926,0.12335089543153499,0.035053438162021555,0.04836476587169211,0.0046631865227627495,0.0041757339753409894,0.025492407963160824,5,N
LGB-XGB Blend,ETHNICITY,0.8318995300145732,0.07762284936157182,0.01893774972020046,0.027698004141714458,0.002505156102266315,0.0028415399031442856,0.03581373006263522,7,Y
LGB-XGB Blend,AGE_GROUP,0.504519313835032,0.3044761561902903,0.10453836774921144,0.10916245344390832,0.004875903053066198,0.03406887008591475,0.015345382318712075,3,N
